Strand	Start	End
+ 571283 571852
+ 573853 575247
+ 577395 577937
+ 577950 578261
+ 578277 580421
+ 580486 581643
+ 581645 583417
+ 583458 583832
+ 585080 586156
+ 586218 587024
+ 587031 587882
+ 588066 589667
+ 590348 590935
+ 591188 592357
+ 592446 595931
+ 595967 596521
+ 596531 598591
+ 599495 600844
+ 601010 602344
+ 602374 603729
+ 607138 607935
+ 608041 609078
+ 611309 612022
+ 612048 613985
+ 618828 621035
+ 622005 623447
+ 623451 625007
+ 625007 626260
+ 626286 627038
+ 630769 631986
+ 631991 632482
+ 632485 634464
+ 634581 636011
+ 636144 636216
+ 636241 636314
+ 636395 636475
+ 636481 636552
+ 636593 637957
+ 637963 638556
+ 638580 639872
+ 639841 642249
+ 642289 642441
+ 644772 645140
+ 645719 646681
+ 648466 648539
+ 648553 649107
+ 653887 654849
+ 654809 656902
+ 656945 657016
+ 658898 659623
+ 661606 662529
+ 673342 674778
+ 675035 676378
+ 676472 677860
+ 682679 683377
+ 683423 684967
+ 688490 690127
+ 690193 690489
+ 690503 690799
+ 690885 692645
+ 692629 693528
+ 693554 694696
+ 695631 696764
+ 697586 698332
+ 701029 701385
+ 701395 701805
+ 701825 702274
+ 703009 703968
+ 703961 704959
+ 704949 705500
+ 705580 706605
+ 706673 709267
+ 709274 710674
+ 710686 711171
+ 711211 711651
+ 715009 716619
+ 716656 717771
+ 717743 718669
+ 718827 721088
+ 721119 723020
+ 724224 725447
+ 725431 726495
+ 726458 727753
+ 727737 728675
+ 728666 729619
+ 729613 730506
+ 731184 731720
+ 731794 733803
+ 734081 735289
+ 735352 736686
+ 736699 736959
+ 736960 737208
+ 737212 737712
+ 737709 738428
+ 738406 738771
+ 739144 739683
+ 739685 740176
+ 740240 740422
+ 740446 740688
+ 740688 741425
+ 742744 744516
+ 744522 744845
+ 744933 745006
+ 745012 745093
+ 745302 746333
+ 746339 748119
+ 748123 750018
+ 750031 750789
+ 750816 751166
+ 751191 752159
+ 752170 753219
+ 753223 754068
+ 754068 754550
+ 754550 756349
+ 756354 757670
+ 757836 759581
+ 759586 760215
+ 760202 761647
+ 762251 763573
+ 763579 764361
+ 764371 765342
+ 765373 766716
+ 774677 775462
+ 776785 777573
+ 777765 778754
+ 778758 781385
+ 783390 785021
+ 785057 786754
+ 786860 788962
+ 789303 789938
+ 792351 793625
+ 800476 801072
+ 801119 801778
+ 801846 801928
+ 803278 804165
+ 817396 817956
+ 818018 818548
+ 818605 818916
+ 818922 819242
+ 819242 819487
+ 819542 820528
+ 820607 821188
+ 821185 822369
+ 822344 822694
+ 822810 823103
+ 823168 823239
+ 823263 823811
+ 823816 824382
+ 824382 825704
+ 825701 827620
+ 827631 829112
+ 829218 830321
+ 831646 836043
+ 836061 838526
+ 838547 839080
+ 839244 841832
+ 841834 842451
+ 842552 842989
+ 843003 844451
+ 844454 847102
+ 847126 847488
+ 847491 848339
+ 848538 848804
+ 848819 850987
+ 850994 852514
+ 852489 853778
+ 853775 854842
+ 854869 855996
+ 855989 857509
+ 857506 858915
+ 860186 860362
+ 860392 861774
+ 861784 862730
+ 862699 863646
+ 863636 865042
+ 865053 865919
+ 865916 866458
+ 866494 866694
+ 866681 867601
+ 868195 868740
+ 875207 876448
+ 876435 879281
+ 879315 880250
+ 888312 890318
+ 890322 893174
+ 893129 896569
+ 899499 900731
+ 900799 901782
+ 901834 903258
+ 906077 906298
+ 907935 908081
+ 908407 909591
- 1796 768
- 3249 1784
- 6306 5251
- 7397 6309
- 8315 7458
- 15345 14725
- 15722 15345
- 17787 16807
- 18304 17792
- 19979 18312
- 21083 20051
- 22101 21058
- 22739 22146
- 24696 23965
- 25602 24697
- 27865 27434
- 28490 27855
- 29472 28492
- 32089 31550
- 34037 32157
- 35836 34037
- 36594 35857
- 38123 36606
- 39638 38136
- 41432 40761
- 42483 41443
- 42881 42480
- 45354 42907
- 46379 46011
- 47049 46688
- 49259 48603
- 50474 50112
- 51251 50490
- 52434 51253
- 53461 52454
- 55504 53534
- 56280 55501
- 56748 56281
- 57185 56832
- 59036 58029
- 60039 59101
- 60533 60036
- 61257 60568
- 63032 61254
- 79009 77711
- 79322 79002
- 83920 82970
- 85840 84041
- 86854 85880
- 87360 86926
- 89203 87377
- 89808 89200
- 91115 89811
- 92864 91137
- 93423 92878
- 94032 93433
- 94605 94219
- 96953 94611
- 97866 96943
- 98648 97863
- 101339 100746
- 102949 101525
- 103771 103016
- 105431 103764
- 105846 105418
- 106894 105884
- 108167 106974
- 111042 109675
- 111567 111046
- 111875 111585
- 112338 111889
- 112769 112350
- 114603 112909
- 116806 115505
- 117688 116825
- 118370 117678
- 118929 118375
- 119803 118964
- 120589 119807
- 121082 120804
- 121823 121101
- 122491 121880
- 124146 122491
- 124814 124149
- 125547 124798
- 126301 125534
- 127413 126316
- 130132 127427
- 131114 130170
- 133842 132472
- 137766 135874
- 138089 137880
- 138745 138434
- 141960 138747
- 142932 141979
- 144179 142944
- 145458 144586
- 146370 145471
- 147495 146377
- 148659 147649
- 150783 148786
- 153686 153075
- 156400 153701
- 162801 161200
- 164820 163072
- 165887 164901
- 167759 165915
- 169399 167879
- 171097 170720
- 173535 171532
- 174116 173529
- 175084 174098
- 176082 175081
- 176974 176069
- 177853 176978
- 178860 177868
- 179543 178917
- 181405 179540
- 182802 181408
- 187831 187178
- 188237 187824
- 188494 188234
- 189055 188708
- 189276 189076
- 189859 189299
- 192327 191518
- 193463 192324
- 201050 199965
- 202578 201052
- 208653 208084
- 219078 218425
- 219634 219056
- 224785 223964
- 226610 224826
- 227827 226610
- 228521 227814
- 228895 228542
- 229148 228864
- 231491 230214
- 235534 235289
- 237142 235595
- 237629 237222
- 237956 237630
- 238226 237969
- 239128 238301
- 240250 239144
- 242289 240283
- 244713 243943
- 245379 244777
- 250670 250176
- 251211 250657
- 252237 251212
- 263712 261292
- 269676 267313
- 270473 269673
- 272641 270488
- 273647 272634
- 276496 275243
- 278559 277090
- 279058 278537
- 279380 279078
- 281311 279407
- 281793 281314
- 282687 281800
- 283865 282699
- 285959 283869
- 287089 285971
- 287877 287089
- 288173 287910
- 288946 288182
- 289583 288957
- 289917 289576
- 291021 289963
- 291595 291059
- 292426 291644
- 293208 292426
- 293429 293205
- 294780 293452
- 295228 294785
- 296420 295242
- 297045 296428
- 297469 297038
- 298776 297466
- 299715 298795
- 300764 299730
- 302489 300780
- 302836 302504
- 303309 302851
- 303740 303333
- 305120 303774
- 305661 305113
- 306615 305671
- 307317 306625
- 308517 307318
- 309780 308539
- 310523 309780
- 311653 310559
- 312715 311660
- 314123 312729
- 314427 314146
- 315314 314424
- 316143 315307
- 317216 316140
- 318005 317247
- 319116 318277
- 319636 319106
- 320258 319680
- 322846 322040
- 323779 322847
- 325236 323776
- 326288 325236
- 326654 326469
- 327757 326699
- 330752 329643
- 333598 330803
- 334515 333619
- 344947 344192
- 346841 346431
- 347301 346861
- 348160 347351
- 349610 348153
- 351045 349600
- 351331 351056
- 353437 351341
- 354636 353440
- 355298 354648
- 359495 359217
- 361078 359513
- 364117 362318
- 365080 364130
- 365603 365115
- 366236 365643
- 366960 366229
- 368391 366964
- 374151 373567
- 377019 375961
- 379330 377039
- 380558 379341
- 381892 380555
- 383382 381910
- 384162 383395
- 388480 387818
- 388926 388507
- 390341 388977
- 391819 390392
- 392957 391932
- 394063 393044
- 395166 394105
- 396506 395481
- 397077 396604
- 397476 397102
- 401677 397544
- 405160 401693
- 405617 405243
- 406176 405688
- 406861 406181
- 407292 406861
- 407898 407344
- 408092 407922
- 408192 408120
- 408380 408201
- 408480 408408
- 409402 408554
- 410447 409416
- 413009 411456
- 415793 414327
- 416523 415846
- 419506 418388
- 421380 419503
- 424442 423822
- 430610 429693
- 435103 430619
- 435311 435201
- 438267 435333
- 438556 438446
- 441512 438578
- 442552 441713
- 443248 442688
- 444409 444336
- 446122 444578
- 446875 446327
- 447643 446969
- 448591 448202
- 451921 451139
- 454472 452040
- 456388 454484
- 465456 465244
- 467278 465518
- 469387 467282
- 469665 469390
- 469971 469678
- 471220 469961
- 471756 471223
- 472358 471771
- 474556 473405
- 478074 476263
- 482057 481344
- 494539 494150
- 513139 512393
- 528102 527361
- 529198 528104
- 531105 529198
- 531692 531129
- 535600 535178
- 539275 538328
- 540175 539367
- 540773 540159
- 542069 540776
- 547617 547545
- 547797 547725
- 548490 547846
- 548843 548487
- 549618 548920
- 551723 549642
- 557423 556563
- 558024 557407
- 560732 558006
- 561127 560729
- 561554 561117
- 561943 561563
- 565681 564188
- 573740 571890
- 575816 575274
- 576499 575981
- 577187 576582
- 584182 584099
- 584880 584191
- 590208 589684
- 599376 598588
- 604769 603726
- 606983 604779
- 609906 609061
- 611193 609943
- 615771 614014
- 616390 615764
- 618559 616412
- 621953 621045
- 628948 627092
- 630698 629196
- 643126 642500
- 643227 643155
- 644650 643295
- 645601 645137
- 648254 646659
- 650387 649170
- 653790 650413
- 657543 656998
- 658817 657546
- 661515 659644
- 662917 662603
- 663140 663067
- 665011 663179
- 668517 665008
- 671763 668523
- 673212 671767
- 678938 677892
- 679750 678959
- 680557 679754
- 681606 680563
- 682524 681685
- 685980 684997
- 686507 685977
- 688295 686607
- 695523 694693
- 697437 696751
- 699965 698400
- 700924 700052
- 702951 702283
- 712207 711692
- 713250 712204
- 714107 713244
- 714766 714104
- 724130 723063
- 730588 730515
- 731099 730632
- 742628 741396
- 762154 761621
- 768064 766733
- 769470 768079
- 771139 769547
- 771563 771162
- 774368 771570
- 776679 775666
- 782073 781486
- 782829 782152
- 783248 782976
- 789119 789047
- 789200 789127
- 790807 789947
- 791787 790807
- 792252 791794
- 794855 793842
- 796383 794875
- 797122 796388
- 798048 797119
- 799016 798057
- 800275 799208
- 802798 801941
- 803167 802838
- 805772 804417
- 806923 805775
- 807966 806920
- 808464 807976
- 809552 808461
- 810495 809701
- 811510 810470
- 812388 811507
- 813239 812439
- 813706 813386
- 814697 813690
- 815302 814868
- 816299 815502
- 817160 816312
- 830812 830318
- 831563 830955
- 860111 858939
- 868114 867743
- 869515 868733
- 870023 869508
- 872583 870112
- 875132 872586
- 881091 880267
- 884213 881085
- 886447 884228
- 888179 886470
- 897127 896579
- 897695 897096
- 899320 897704
- 904900 903929
- 906783 906455
